TAMANHO,,,,,ordem,,
BHP,"31,84",vermelho,,,AEM,"42,34",amarelo
RIO,"52,84",amarelo,,,AMCR,"56,14",amarelo
SHW,"57,67",amarelo,,,APD,"45,7",amarelo
APD,"45,7",amarelo,,,AU,"45,45",amarelo
SCCO,"48,61",amarelo,,,AVY,"43,25",amarelo
ECL,"54,15",amarelo,,,BALL,"54,01",amarelo
FCX,"59,1",amarelo,,,BHP,"31,84",vermelho
NEM,"38,81",vermelho,,,CF,"35,39",vermelho
AEM,"42,34",amarelo,,,CTVA,"45,88",amarelo
CTVA,"45,88",amarelo,,,DD,"31,5",vermelho
VMC,"45,86",amarelo,,,DOW,"26,75",vermelho
MLM,"43,5",amarelo,,,ECL,"54,15",amarelo
DD,"31,5",vermelho,,,FCX,"59,1",amarelo
NUE,"39,38",vermelho,,,GFI,"48,78",amarelo
DOW,"26,75",vermelho,,,GOLD,"36,49",vermelho
PPG,"44,97",amarelo,,,IP,"61,39",verde
GOLD,"36,49",vermelho,,,JHX,"51,85",amarelo
WPM,"35,26",vermelho,,,KGC,"31,66",vermelho
NTR,"40,11",amarelo,,,LYB,"50,49",amarelo
LYB,"50,49",amarelo,,,MLM,"43,5",amarelo
PKG,"58,53",amarelo,,,MT,"41,05",amarelo
TECK,"31,75",vermelho,,,NEM,"38,81",vermelho
IP,"61,39",verde,,,NTR,"40,11",amarelo
MT,"41,05",amarelo,,,NUE,"39,38",vermelho
STLD,"57,32",amarelo,,,PKG,"58,53",amarelo
BALL,"54,01",amarelo,,,PPG,"44,97",amarelo
RPM,"39,81",vermelho,,,RIO,"52,84",amarelo
RS,"59,79",amarelo,,,RPM,"39,81",vermelho
CF,"35,39",vermelho,,,RS,"59,79",amarelo
AVY,"43,25",amarelo,,,SCCO,"48,61",amarelo
WLK,"51,63",amarelo,,,SHW,"57,67",amarelo
GFI,"48,78",amarelo,,,SQM,"36,27",vermelho
JHX,"51,85",amarelo,,,STLD,"57,32",amarelo
AMCR,"56,14",amarelo,,,SUZ,35,vermelho
AU,"45,45",amarelo,,,TECK,"31,75",vermelho
SUZ,35,vermelho,,,VMC,"45,86",amarelo
KGC,"31,66",vermelho,,,WLK,"51,63",amarelo
SQM,"36,27",vermelho,,,WPM,"35,26",vermelho
