TAMANHO,,,,,ordem,,
BRK-A,"48,09",amarelo,,,BRK-A,"48,09",amarelo
BRK-B,"42,93",amarelo,,,BRK-B,"42,93",amarelo
WMT,"35,42",vermelho,,,BUD,"50,34",amarelo
PG,"48,66",amarelo,,,CCEP,"42,8",amarelo
KO,"51,87",amarelo,,,CL,"49,13",amarelo
PEP,"44,96",amarelo,,,HON,"52,42",amarelo
PM,"60,77",verde,,,ITW,"35,41",vermelho
HON,"52,42",amarelo,,,KDP,"44,22",amarelo
BUD,"50,34",amarelo,,,KHC,"36,5",vermelho
MO,"32,39",vermelho,,,KMB,"44,11",amarelo
MMM,"48,4",amarelo,,,KO,"51,87",amarelo
ITW,"35,41",vermelho,,,KR,"51,68",amarelo
MDLZ,"43,99",amarelo,,,KVUE,"48,07",amarelo
CL,"49,13",amarelo,,,MDLZ,"43,99",amarelo
MNST,"63,64",verde,,,MMM,"48,4",amarelo
KR,"51,68",amarelo,,,MNST,"63,64",verde
KMB,"44,11",amarelo,,,MO,"32,39",vermelho
KDP,"44,22",amarelo,,,PEP,"44,96",amarelo
KVUE,"48,07",amarelo,,,PG,"48,66",amarelo
KHC,"36,5",vermelho,,,PM,"60,77",verde
CCEP,"42,8",amarelo,,,SYY,"36,84",vermelho
SYY,"36,84",vermelho,,,WMT,"35,42",vermelho
