TAMANHO,,,,,ordem,,
JPM,"36,9",vermelho,,,AON,"36,9",vermelho
BAC,"41,39",amarelo,,,APO,"41,39",amarelo
WFC,"40,14",amarelo,,,AXP,"40,14",amarelo
MS,"40,6",amarelo,,,BAC,"40,6",amarelo
AXP,59,amarelo,,,BLK,59,amarelo
GS,"44,96",amarelo,,,BN,"44,96",amarelo
RY,"44,53",amarelo,,,BX,"44,53",amarelo
BLK,"46,7",amarelo,,,C,"46,7",amarelo
C,"34,63",vermelho,,,CB,"34,63",vermelho
SCHW,"45,2",amarelo,,,CME,"45,2",amarelo
KKR,"26,75",vermelho,,,COF,"26,75",vermelho
PGR,"56,23",amarelo,,,GS,"56,23",amarelo
BX,"35,44",vermelho,,,ICE,"35,44",vermelho
CB,"44,81",amarelo,,,JPM,"44,81",amarelo
MMC,"56,41",amarelo,,,KKR,"56,41",amarelo
APO,"48,74",amarelo,,,MMC,"48,74",amarelo
ICE,"41,8",amarelo,,,MS,"41,8",amarelo
BN,28,vermelho,,,NWG,28,vermelho
NWG,"40,67",amarelo,,,PGR,"40,67",amarelo
CME,"48,97",amarelo,,,PNC,"48,97",amarelo
AON,"66,01",verde,,,RY,"66,01",verde
PNC,"42,5",amarelo,,,SCHW,"42,5",amarelo
COF,"33,5",vermelho,,,WFC,"33,5",vermelho
