TAMANHO,,,,,ordem,,
GE,"45,32",amarelo,,,AME,"48,18",amarelo
CAT,"40,52",amarelo,,,AXON,34,vermelho
RTX,"47,72",amarelo,,,BA,"24,75",vermelho
SPGI,"35,46",vermelho,,,BR,"50,55",amarelo
UNP,"51,05",amarelo,,,CARR,"69,16",verde
BA,"24,75",vermelho,,,CAT,"40,52",amarelo
DE,"46,58",amarelo,,,CP,"59,21",amarelo
ETN,"45,27",amarelo,,,CPAY,"58,91",amarelo
FI,"52,91",amarelo,,,CTAS,"56,31",amarelo
LTM,"34,55",vermelho,,,DAL,"33,03",vermelho
UPS,"43,51",amarelo,,,DE,"46,58",amarelo
PYPL,"54,85",amarelo,,,DOV,"54,93",amarelo
MCO,"35,05",vermelho,,,EFX,"56,03",amarelo
PH,"44,48",amarelo,,,EME,"41,74",amarelo
WM,"67,41",verde,,,EMR,"40,8",amarelo
TT,"48,27",amarelo,,,ETN,"45,27",amarelo
CTAS,"56,31",amarelo,,,FAST,"65,58",verde
CP,"59,21",amarelo,,,FDX,"58,28",amarelo
TDG,"36,31",vermelho,,,FI,"52,91",amarelo
GD,"41,51",amarelo,,,FTV,"47,12",amarelo
EMR,"40,8",amarelo,,,GD,"41,51",amarelo
NOC,"41,71",amarelo,,,GE,"45,32",amarelo
RSG,"60,95",verde,,,GPN,"50,58",amarelo
FDX,"58,28",amarelo,,,GWW,"60,6",verde
CARR,"69,16",verde,,,HEI,"30,5",vermelho
NSC,"38,99",vermelho,,,HUBB,"47,13",amarelo
PCAR,"35,15",vermelho,,,HWM,"44,1",amarelo
GWW,"60,6",verde,,,IR,"49,47",amarelo
PAYX,"60,87",verde,,,JCI,"53,73",amarelo
URI,"43,91",amarelo,,,LHX,"42,21",amarelo
JCI,"53,73",amarelo,,,LII,"47,51",amarelo
HWM,"44,1",amarelo,,,LTM,"34,55",vermelho
MSCI,"59,62",amarelo,,,LUV,"60,2",verde
WCN,"48,5",amarelo,,,MCO,"35,05",vermelho
AXON,34,vermelho,,,MSCI,"59,62",amarelo
PWR,"29,71",vermelho,,,NOC,"41,71",amarelo
DAL,"33,03",vermelho,,,NSC,"38,99",vermelho
FAST,"65,58",verde,,,ODFL,"44,92",amarelo
AME,"48,18",amarelo,,,OTIS,"51,77",amarelo
LHX,"42,21",amarelo,,,PAYX,"60,87",verde
ODFL,"44,92",amarelo,,,PCAR,"35,15",vermelho
VRT,38,vermelho,,,PH,"44,48",amarelo
OTIS,"51,77",amarelo,,,PWR,"29,71",vermelho
IR,"49,47",amarelo,,,PYPL,"54,85",amarelo
WAB,"64,76",verde,,,ROK,"42,03",amarelo
UAL,"26,98",vermelho,,,ROL,"42,22",amarelo
EFX,"56,03",amarelo,,,RSG,"60,95",verde
HEI,"30,5",vermelho,,,RTX,"47,72",amarelo
ROK,"42,03",amarelo,,,RYAAY,"32,21",vermelho
XYL,"45,18",amarelo,,,SPGI,"35,46",vermelho
BR,"50,55",amarelo,,,TDG,"36,31",vermelho
GPN,"50,58",amarelo,,,TRU,"44,99",amarelo
FTV,"47,12",amarelo,,,TT,"48,27",amarelo
DOV,"54,93",amarelo,,,UAL,"26,98",vermelho
CPAY,"58,91",amarelo,,,UNP,"51,05",amarelo
VLTO,"45,14",amarelo,,,UPS,"43,51",amarelo
ROL,"42,22",amarelo,,,URI,"43,91",amarelo
LII,"47,51",amarelo,,,VLTO,"45,14",amarelo
HUBB,"47,13",amarelo,,,VRT,38,vermelho
RYAAY,"32,21",vermelho,,,WAB,"64,76",verde
EME,"41,74",amarelo,,,WCN,"48,5",amarelo
LUV,"60,2",verde,,,WM,"67,41",verde
TRU,"44,99",amarelo,,,XYL,"45,18",amarelo
