TAMANHO,,,,,ordem,,
LLY,"43,64",amarelo,,,ABBV,"35,5",vermelho
UNH,"40,34",amarelo,,,ABT,"45,77",amarelo
JNJ,"36,84",vermelho,,,AMGN,"52,65",amarelo
ABBV,"35,5",vermelho,,,BDX,"57,74",amarelo
MRK,"51,06",amarelo,,,BMY,"40,98",amarelo
TMO,"47,87",amarelo,,,BSX,"29,87",vermelho
ABT,"45,77",amarelo,,,CI,"49,68",amarelo
ISRG,"36,5",vermelho,,,CVS,"48,94",amarelo
DHR,"53,94",amarelo,,,DHR,"53,94",amarelo
PFE,"52,65",amarelo,,,ELV,"41,05",amarelo
AMGN,"52,65",amarelo,,,GILD,"41,31",amarelo
SYK,"35,41",vermelho,,,GSK,"56,36",amarelo
BSX,"29,87",vermelho,,,HCA,"52,22",amarelo
BMY,"40,98",amarelo,,,ISRG,"36,5",vermelho
GILD,"41,31",amarelo,,,JNJ,"36,84",vermelho
MDT,"43,67",amarelo,,,LLY,"43,64",amarelo
VRTX,"40,25",amarelo,,,MCK,"62,3",verde
ELV,"41,05",amarelo,,,MDT,"43,67",amarelo
CI,"49,68",amarelo,,,MRK,"51,06",amarelo
HCA,"52,22",amarelo,,,PFE,"52,65",amarelo
ZTS,"49,35",amarelo,,,REGN,"55,77",amarelo
MCK,"62,3",verde,,,SYK,"35,41",vermelho
REGN,"55,77",amarelo,,,TMO,"47,87",amarelo
BDX,"57,74",amarelo,,,UNH,"40,34",amarelo
CVS,"48,94",amarelo,,,VRTX,"40,25",amarelo
GSK,"56,36",amarelo,,,ZTS,"49,35",amarelo
