TAMANHO,,,,,ordem,,
PLD,"59,09",amarelo,,,AMT,"52,67",amarelo
AMT,"52,67",amarelo,,,AVB,"47,98",amarelo
EQIX,"67,49",verde,,,BEKE,"61,99",verde
WELL,37,vermelho,,,CBRE,"49,31",amarelo
SPG,"47,29",amarelo,,,CCI,"32,5",vermelho
DLR,"51,58",amarelo,,,DLR,"51,58",amarelo
PSA,"50,91",amarelo,,,EQIX,"67,49",verde
O,"64,39",verde,,,EQR,"53,42",amarelo
CBRE,"49,31",amarelo,,,ESS,"49,48",amarelo
CCI,"32,5",vermelho,,,EXR,"58,23",amarelo
EXR,"58,23",amarelo,,,INVH,"60,6",verde
VICI,"41,16",amarelo,,,IRM,"41,5",amarelo
AVB,"47,98",amarelo,,,MAA,"55,74",amarelo
IRM,"41,5",amarelo,,,O,"64,39",verde
EQR,"53,42",amarelo,,,PLD,"59,09",amarelo
VTR,"35,5",vermelho,,,PSA,"50,91",amarelo
WY,"57,65",amarelo,,,SBAC,"55,65",amarelo
SBAC,"55,65",amarelo,,,SPG,"47,29",amarelo
BEKE,"61,99",verde,,,VICI,"41,16",amarelo
Z,29,vermelho,,,VTR,"35,5",vermelho
INVH,"60,6",verde,,,WELL,37,vermelho
ZG,29,vermelho,,,WY,"57,65",amarelo
ESS,"49,48",amarelo,,,Z,29,vermelho
MAA,"55,74",amarelo,,,ZG,29,vermelho
