Ticker,Score,Cor,Setor
CRM,73.88,verde,Technology.csv
RACE,70.87,verde,Consumer Cyclicals.csv
CARR,69.16,verde,INDUSTRIA.csv
YUM,67.83,verde,Consumer Cyclicals.csv
EQIX,67.49,verde,Real Estate.csv
WM,67.41,verde,INDUSTRIA.csv
AON,66.01,verde,Financials.csv
V,65.73,verde,Technology.csv
TJX,65.73,verde,Consumer Cyclicals.csv
FAST,65.58,verde,INDUSTRIA.csv
WAB,64.76,verde,INDUSTRIA.csv
O,64.39,verde,Real Estate.csv
MCD,64.0,verde,Consumer Cyclicals.csv
ORLY,63.65,verde,Consumer Cyclicals.csv
MNST,63.64,verde,Consumer Non-Cyclicals.csv
TMUS,62.88,verde,Technology.csv
ADI,62.53,verde,Technology.csv
MCK,62.3,verde,Healthcare.csv
BEKE,61.99,verde,Real Estate.csv
IP,61.39,verde,Basic Materials.csv
CMG,61.38,verde,Consumer Cyclicals.csv
LOW,61.0,verde,Consumer Cyclicals.csv
RSG,60.95,verde,INDUSTRIA.csv
IBM,60.89,verde,Technology.csv
PAYX,60.87,verde,INDUSTRIA.csv
PM,60.77,verde,Consumer Non-Cyclicals.csv
GWW,60.6,verde,INDUSTRIA.csv
INVH,60.6,verde,Real Estate.csv
LUV,60.2,verde,INDUSTRIA.csv
APH,60.14,verde,Technology.csv
RS,59.79,amarelo,Basic Materials.csv
NFLX,59.64,amarelo,Technology.csv
MSCI,59.62,amarelo,INDUSTRIA.csv
TXN,59.55,amarelo,Technology.csv
CP,59.21,amarelo,INDUSTRIA.csv
FCX,59.1,amarelo,Basic Materials.csv
PLD,59.09,amarelo,Real Estate.csv
AXP,59.0,amarelo,Financials.csv
CHT,58.95,amarelo,Technology.csv
CPAY,58.91,amarelo,INDUSTRIA.csv
PKG,58.53,amarelo,Basic Materials.csv
COST,58.4,amarelo,Consumer Cyclicals.csv
FDX,58.28,amarelo,INDUSTRIA.csv
EXR,58.23,amarelo,Real Estate.csv
BDX,57.74,amarelo,Healthcare.csv
RCL,57.72,amarelo,Consumer Cyclicals.csv
SHW,57.67,amarelo,Basic Materials.csv
DECK,57.66,amarelo,Consumer Cyclicals.csv
WY,57.65,amarelo,Real Estate.csv
OKE,57.45,amarelo,ENERGIA .csv
STLD,57.32,amarelo,Basic Materials.csv
TTE,57.24,amarelo,ENERGIA .csv
INTU,57.1,amarelo,Technology.csv
EPD,56.82,amarelo,ENERGIA .csv
ATGE,56.61,amarelo,Academic & Educational Services.csv
HD,56.54,amarelo,Consumer Cyclicals.csv
MMC,56.41,amarelo,Financials.csv
GSK,56.36,amarelo,Healthcare.csv
CTAS,56.31,amarelo,INDUSTRIA.csv
PGR,56.23,amarelo,Financials.csv
AMCR,56.14,amarelo,Basic Materials.csv
EFX,56.03,amarelo,INDUSTRIA.csv
MAR,55.98,amarelo,Consumer Cyclicals.csv
DIS,55.93,amarelo,Consumer Cyclicals.csv
AAPL,55.79,amarelo,Technology.csv
REGN,55.77,amarelo,Healthcare.csv
MAA,55.74,amarelo,Real Estate.csv
SBAC,55.65,amarelo,Real Estate.csv
SLB,55.59,amarelo,ENERGIA .csv
LRN,55.17,amarelo,Academic & Educational Services.csv
NVDA,55.13,amarelo,Technology.csv
DOV,54.93,amarelo,INDUSTRIA.csv
PYPL,54.85,amarelo,INDUSTRIA.csv
ABNB,54.63,amarelo,Technology.csv
ADBE,54.16,amarelo,Technology.csv
ECL,54.15,amarelo,Basic Materials.csv
BALL,54.01,amarelo,Basic Materials.csv
DHR,53.94,amarelo,Healthcare.csv
QCOM,53.74,amarelo,Technology.csv
JCI,53.73,amarelo,INDUSTRIA.csv
VZ,53.51,amarelo,Technology.csv
VZ,53.51,amarelo,Technology.csv
PNW,53.47,amarelo,Utilities.csv
EQR,53.42,amarelo,Real Estate.csv
ET,53.37,amarelo,ENERGIA .csv
PANW,53.14,amarelo,Technology.csv
FI,52.91,amarelo,INDUSTRIA.csv
CVX,52.85,amarelo,ENERGIA .csv
RIO,52.84,amarelo,Basic Materials.csv
KLAC,52.7,amarelo,Technology.csv
AMT,52.67,amarelo,Real Estate.csv
AMGN,52.65,amarelo,Healthcare.csv
PFE,52.65,amarelo,Healthcare.csv
XOM,52.61,amarelo,ENERGIA .csv
UBER,52.56,amarelo,Technology.csv
HON,52.42,amarelo,Consumer Non-Cyclicals.csv
APP,52.37,amarelo,Technology.csv
LNG,52.33,amarelo,ENERGIA .csv
HCA,52.22,amarelo,Healthcare.csv
LRCX,52.14,amarelo,Technology.csv
KO,51.87,amarelo,Consumer Non-Cyclicals.csv
BKNG,51.85,amarelo,Consumer Cyclicals.csv
JHX,51.85,amarelo,Basic Materials.csv
OTIS,51.77,amarelo,INDUSTRIA.csv
T,51.76,amarelo,Technology.csv
T,51.76,amarelo,Technology.csv
SBUX,51.71,amarelo,Consumer Cyclicals.csv
KR,51.68,amarelo,Consumer Non-Cyclicals.csv
WLK,51.63,amarelo,Basic Materials.csv
DLR,51.58,amarelo,Real Estate.csv
MU,51.57,amarelo,Technology.csv
MSI,51.52,amarelo,Technology.csv
NOW,51.5,amarelo,Technology.csv
ENB,51.5,amarelo,ENERGIA .csv
ATO,51.48,amarelo,Utilities.csv
ADP,51.43,amarelo,Technology.csv
MRK,51.06,amarelo,Healthcare.csv
UNP,51.05,amarelo,INDUSTRIA.csv
KMI,50.99,amarelo,ENERGIA .csv
NKE,50.98,amarelo,Consumer Cyclicals.csv
PSA,50.91,amarelo,Real Estate.csv
OXY,50.85,amarelo,ENERGIA .csv
GPN,50.58,amarelo,INDUSTRIA.csv
SBS,50.55,amarelo,Utilities.csv
BR,50.55,amarelo,INDUSTRIA.csv
LYB,50.49,amarelo,Basic Materials.csv
ANET,50.44,amarelo,Technology.csv
BUD,50.34,amarelo,Consumer Non-Cyclicals.csv
PRDO,50.24,amarelo,Academic & Educational Services.csv
WTRG,50.21,amarelo,Utilities.csv
FANG,50.02,amarelo,ENERGIA .csv
APEI,49.75,amarelo,Academic & Educational Services.csv
CI,49.68,amarelo,Healthcare.csv
ESS,49.48,amarelo,Real Estate.csv
IR,49.47,amarelo,INDUSTRIA.csv
ZTS,49.35,amarelo,Healthcare.csv
